Affiliation,currency,usd_value
Masquerade,AUD,1417.016163761962
Masquerade,CAD,25.996232038570614
Masquerade,EUR,113.599791
Masquerade,HKD,873.1860522961605
Masquerade,JPY,344027.76605093427
Masquerade,KRW,1145.7488469675168
Masquerade,NT$,5059.302581418363
Masquerade,Other,117.72469737260028
Masquerade,SGD,1281.757656511865
Masquerade,USD,1790.42
MayuVerseID,EUR,8.1176
MayuVerseID,JPY,22.906646751306944
MayuVerseID,KRW,9.202589609979471
MayuVerseID,Other,181.7765585921344
MayuVerseID,SGD,7.515591185636515
MayuVerseID,USD,5.0
Megalight Production,AUD,508.8258576913131
Megalight Production,CAD,424.6250005171437
Megalight Production,EUR,470.13155699999993
Megalight Production,GBP,248.13557482329315
Megalight Production,HKD,14184.948423771042
Megalight Production,JPY,58611.94878100293
Megalight Production,KRW,3430.5251341291096
Megalight Production,NT$,36096.01847663021
Megalight Production,Other,2563.551435317924
Megalight Production,SGD,2661.4806347977064
Megalight Production,USD,3389.2699999999995
Megamisoft,JPY,245.60521199532246
Megamisoft,KRW,12.33677086149104
Melty+,AUD,435.22938933487524
Melty+,CAD,51.4844970558256
Melty+,EUR,119.912133
Melty+,GBP,627.5845090155556
Melty+,HKD,73.54462612189012
Melty+,JPY,15469.346251777968
Melty+,KRW,710.6512380179121
Melty+,NT$,8707.425359314884
Melty+,Other,626.986326627559
Melty+,SGD,169.83300188542773
Melty+,USD,1438.29
Merryweather Media,CAD,91.70080448883962
Merryweather Media,EUR,8.825646
Merryweather Media,GBP,70.89903816740613
Merryweather Media,NT$,1.87049911151292
Merryweather Media,Other,34.38117274111311
Merryweather Media,SGD,7.018781031877384
Merryweather Media,USD,1143.69
Metanoia ID,Other,97.0914116334572
MetanoiaLIVE,KRW,99.51638898256925
MetanoiaLIVE,NT$,16.49786963853713
MetanoiaLIVE,Other,741.2494748106249
MetanoiaLIVE,SGD,15.074430215132217
Muse Indonesia,JPY,12.689856308174068
Muse Indonesia,NT$,0.5403068943159705
Muse Indonesia,Other,64.90686089630329
Muse Indonesia,USD,195.95999999999998
MyHolo TV,AUD,78.19470681264625
MyHolo TV,CAD,603.8763729009197
MyHolo TV,EUR,218.128375
MyHolo TV,GBP,190.4617095797803
MyHolo TV,HKD,25.477802483323757
MyHolo TV,JPY,405.2137737428246
MyHolo TV,KRW,175.27027552685652
MyHolo TV,NT$,10.649888234040489
MyHolo TV,Other,14714.2582593872
MyHolo TV,SGD,548.1749870563841
MyHolo TV,USD,3542.14
MysteriX,HKD,11.482463428205529
MysteriX,Other,34.52385988558049
MysteriX,USD,225.95
Mythic Live,AUD,213.81780688784957
